ана	ana
ата	ata
сув	suv
аш	aʃ
уьй	yj
адам	adam
вакът	vaqɯt
агач	aɡat͡ʃ
кол	kol
коз	koz
ата	aˈta
ана	aˈna
бала	baˈla
сув	suw
тав	taw
кун	kun
ай	aj
жер	ʒer
уьй	yˈj
ит	it
ат	at
кой	koj
эт	et
нан	nan
сют	syt
кара	kaˈra
ак	ak
кызыл	kɯˈzɯl
сары	saˈrɯ
кок	kok
жаш	ʒaʃ
карт	kart
уьйлен	yˈjlen
ишле	iʃˈle
ойна	ojˈna
оку	oˈku
жазы	ʒaˈzɯ
сойле	sojˈle
тынч	tɯntʃ
шумлык	ʃumˈlɯk
ыстык	ɯsˈtɯk
суук	suˈuk
уьйрек	yˈjrek
баш	baʃ
кол	kol
аяк	aˈjak
коз	koz
кулак	kuˈlak
бурун	buˈrun
ауыз	aˈwɯz
тиш	tiʃ
чач	tʃatʃ
тері	teˈri
кан	kan
сок	sok
эт	et
балык	baˈlɯk
кус	kus
орман	orˈman
дары	daˈrɯ
ден	den
журек	ʒuˈrek
акыл	aˈkɯl
рух	rux
уй	uj
сез	sez
таныш	taˈnɯʃ
дос	dos
душман	duʃˈman
уьйрен	yˈjren
бил	bil
кор	kor
ес	jes
унут	uˈnut
кел	kel
бар	bar
тур	tur
отыр	oˈtɯr
жат	ʒat
уйке	ujˈke
оян	oˈjan
ич	itʃ
же	ʒe
тамак	taˈmak
сув	suw
шай	ʃaj
кофе	koˈfe
сют	syt
нан	nan
эт	et
балык	baˈlɯk
жемиш	ʒeˈmiʃ
көкөніс	køkøˈnis
уьй	yˈj
бөлме	bølˈme
үй	yj
қала	qaˈla
ауыл	aˈwɯl
мектеп	mekˈtep
университет	universiˈtet
китап	kiˈtap
калем	kaˈlem
кагаз	kaˈgaz
орындык	orɯnˈdɯk
стол	stol
төсек	tøˈsek
шкаф	ʃkaf
телевизор	televiˈzor
компьютер	kompjuˈter
телефон	teleˈfon
интернет	interˈnet
машин	maˈʃin
велосипед	velosiˈped
поезд	poˈezd
самолет	samoˈlet
корабль	koˈrablʲ
автобус	avtoˈbus
такси	takˈsi
жол	ʒol
көпір	køˈpir
аэропорт	aeroˈport
вокзал	vokˈzal
музей	muˈzej
парк	park
кинотеатр	kinoteˈatr
театр	teˈatr
концерт	konˈtsert
фестиваль	festiˈvalʲ
спорт	sport
футбол	futˈbol
баскетбол	basketˈbol
теннис	tenˈnis
плавание	plaˈvanije
бег	beg
атлетика	atˈletika
олимпиада	olimˈpiada
чемпионат	tʃempiˈonat
медаль	meˈdalʲ
кубок	kuˈbok
команда	koˈmanda
ойын	oˈjɯn
есеп	eˈsep
гол	gol
судья	sudʲˈja
стадион	staˈdion
бассейн	basˈsejn
зал	zal
тренажер	trenaˈʒer
диета	diˈeta
витамин	vitaˈmin
здоровье	zdoroˈvje
болезнь	boˈleznʲ
врач	vratʃ
медсестра	medˈsestra
больница	bolʲˈnitsa
аптека	apˈteka
лекарство	leˈkarstvo
операция	opeˈratsija
анализ	aˈnaliz
диагноз	diagˈnoz
лечение	leˈtʃenije
профилактика	profiˈlaktika
иммунитет	immuˈnitet
инфекция	inˈfektsija
вирус	viˈrus
бактерия	bakˈterija
аллергия	alerˈgija
стресс	stres
депрессия	depreˈssija
сон	son
усталость	usˈtalostʲ
энергия	eˈnergija
сила	siˈla
скорость	skoˈrostʲ
время	vrʲeˈmja
минута	miˈnuta
секунда	seˈkunda
час	tʃas
день	denʲ
ночь	notʃ
неделя	neˈdelʲa
месяц	meˈsʲats
