adan	ˈadan
adar	adar
ael	ˈaɪ̯ɛl
amarth	ˈamarθ
aran	ˈaran
aur	ˈaʊ̯r
band	ˈband
bar	bar
barad	ˈbarad
beleg	ˈbɛlɛg
bennas	ˈbɛnnas
calen	ˈkalɛn
caras	ˈkaras
cú	ˈkuː
dagnir	ˈdagnir
duin	ˈduɪ̯n
dôr	ˈdoːr
edan	ɛdan
edhel	ˈɛðɛl
erui	ˈɛruɪ̯
fael	ˈfaɪ̯ɛl
galad	ˈgalad
galadh	galað
giliath	ˈgilɪ̯aθ
glân	ˈglaːn
gond	ˈgond
gûr	ˈguːr
hen	hɛn
hên	ˈheːn
iaun	ˈɪ̯aʊ̯n
lacha	ˈlaxa
lammen	ˈlammɛn
linnod	ˈlinnod
lû	luː
mad	mad
maew	maɛw
mellon	ˈmɛllon
naneth	nanɛθ
naur	ˈnaʊ̯r
nen	nɛn
nîth	ˈniːθ
orod	ˈɔrɔd
palan	ˈpalan
raen	ˈraɪ̯n
sarn	ˈsarn
tawar	ˈtawar
tirith	ˈtiriθ
tâl	ˈtaːl
uilos	ˈuɪ̯lɔs
vorn	ˈvɔrn
waew	ˈwaɪ̯w
