آئون	ɑːũː
اکر	əkʰəru
اڱارو	ɑːŋɑːɾoː
ت	t̪
ت	t̪e
ث	s
ث	se
ج	ɟ
ج	ɟiːm
جھ	ɟʱe
ح	h
ح	he
خ	x
خ	xe
خاندان	xɑnd̪ɑn
د	d
د	dal
ذ	z
ذ	zal
ر	r
ر	re
ز	z
ز	ze
س	s
س	siːn
سنڌي	sɪndʱiː
ش	ʃ
ش	ʃiːn
ص	s
ص	swaːd
ض	z
ض	zwaːd
ط	t̪
ط	t̪oːy
ظ	z
ظ	zoːy
ع	eː
ع	oː
ع	ɑː
ع	ɛːn
ع	ʔ
ع	ʕ
غ	ɣ
غ	ɣɛːn
ف	f
ف	fe
ق	q
ق	qaf
ل	l
ل	lam
لاسي	lasi
م	m
م	miːm
ماني	mɑni
ن	n
ن	nuːn
نالو	nalo
ٺ	ʈʰ
ٺ	ʈʰe
ٻ	ɓ
ٻ	ɓe
ٻڙي	ɓuɽiː
ٻہ	ɓa
ٽ	ʈ
ٽ	ʈe
ٽي	ʈe
پ	p
پ	pe
پڙھڻ	pəɽʱəɳʊ
ٿ	tʱ
ٿ	tʱe
ڀ	bʱ
ڀ	bʱe
ڀاء	bʱɑʊ
ڀارت	bʱaratu
ڃ	ɲ
ڃ	ɲe
ڄ	ʄ
ڄ	ʄe
ڄيٺ	ʄeːʈʰʊ
چ	c
چ	ce
ڇ	cʱ
ڇ	cʱe
ڇه	tʃʰəhə
ڊ	ɖ
ڊ	ɖal
ڌ	dʱ
ڌ	dʱal
ڍ	ɖʱ
ڍ	ɖʱal
ڍڳو	ɖʱaɠo
ڏ	ɗ
ڏ	ɗal
ڏ	ᶑ
ڏ	ᶑal
ڏسڻي	ɗəsɪɳiː
ڙ	ɽ
ڙ	ɽe
ڙھ	ɽʱ
ڙھ	ɽʱe
ڦ	pʱ
ڦ	pʱe
ک	kʰ
ک	kʰaf
ڪ	k
ڪ	kaf
ڪراچي	kəratʃi
ڪمپيوٽر	kəmpjuːʈər
ڪڱگو	kʊŋɡu
گ	ɡ
گ	ɡaf
گھ	ɡʱ
گھ	ɡʱaf
ڱ	ŋ
ڱ	ŋaf
ڳ	ɠ
ڳ	ɠaf
ڳاڙهو	ɠaːɽʰoː
ڻ	ɳ
ڻ	ɳuːn
